"CrimeType","count","countm","countb","counti","countx","countq"
"GAMBLING",102,38,40,0,14,10
"KIDNAPPING",105,15,39,3,24,24
"HOMICIDE",350,2,4,0,3,0
"ARSON",458,75,95,15,181,92
"TRESPASS",1417,447,379,96,133,362
"ALCOHOL RELATED CRIMES",1954,254,661,205,329,505
"SEX CRIMES",4151,1094,1052,145,828,1031
"OFFENSES AGAINST PUBLIC ADMINI",4169,1221,667,231,1423,627
"DRUGS",5958,2084,1303,344,1504,720
"TRAFFIC OFFENSES",6884,1192,2234,189,1536,1733
"FRAUDS",9413,2111,2768,947,1454,2132
"OFFENSES AGAINST PUBLIC SENSIBILITIES",12482,2631,4060,691,2893,2207
"OTHER",15843,2660,5474,937,2996,3776
"CRIMINAL MISCHIEF",32970,7043,9654,1765,6756,7746
"ASSAULT",52402,11435,14470,1761,13678,11053
"HARRASSMENT",53705,10771,15865,3014,11880,12174
"THEFT CRIMES",112453,34422,30070,3021,20578,23969
